Fechas,Vista_Red_MN,Vista_Patrimonial_MN,Vista_Minorista_MN,Vista_Empresas_MN,Vista_Gobierno_MN,Vista_Empresas_Gobierno_MN,Vista_Corporativa_MN,Plazo_Red_MN,Plazo_Patrimonial_MN,Plazo_Minorista_MN,Plazo_Empresas_MN,Plazo_Gobierno_MN,Plazo_Empresas_Gobierno_MN,Plazo_Corporativa_MN,Plazo_Mayorista_MN,Vista_Red_ME,Vista_Patrimonial_ME,Vista_Minorista_ME,Vista_Empresas_ME,Vista_Gobierno_ME,Vista_Empresas_Gobierno_ME,Vista_Corporativa_ME,Vista_Mayorista_ME,Plazo_Red_ME,Plazo_Patrimonial_ME,Plazo_Minorista_ME,Plazo_Empresas_ME,Plazo_Gobierno_ME,Plazo_Empresas_Gobierno_ME,Plazo_Corporativa_ME,Plazo_Mayorista_ME,Ahorro_Red_MN,Ahorro_Patrimonial_MN,Ahorro_Minorista_MN,Ahorro_Empresas_MN,Ahorro_Gobierno_MN,Ahorro_Empresas_Gobierno_MN,Ahorro_Corporativa_MN,Empresas_MN,Gobierno_MN,Corporativa_MN,Promotor,Empresas_ME,Gobierno_ME,Corporativa_ME,Gobierno_Total,PyME,TDC,Nomina,PPI,Auto,Hipotecaria
2008-09-01,71825.14092,2684.12960,74509.27052,20884.60171,42261.23419,63145.83590,27343.31018,72262.33547,13721.96289,85984.29836,17978.08341,25780.60387,43758.68728,5575.54113,49334.22841,12075.02788,1305.99939,13381.02727,13737.73945,1345.86299,15083.60245,9519.53986,24603.14230,544.45243,2881.21448,3425.66691,2342.77760,72.19889,2414.97648,956.01444,3370.99092,76516.22805,183.61942,76699.84746,131.23165,2.30244,133.53409,0.69870,43359.74997,30452.90935,66434.57932,37136.73277,18122.27676,62.49121,18714.58753,30515.40056,14128.40285,88178.05261,NA,NA,17542.74677,128967.62061
2008-10-01,73418.26704,2855.89455,76274.16159,21891.69696,38350.97013,60242.66709,18249.40393,74582.85236,26169.57809,100752.43045,22111.15461,29709.16088,51820.31549,7232.96980,59053.28529,13981.98794,1495.16576,15477.15370,16207.94356,1578.04962,17785.99318,9165.77334,26951.76652,557.29042,2983.19836,3540.48878,2362.50055,323.35769,2685.85825,1160.12321,3845.98146,83330.17904,191.00349,83521.18253,126.49407,2.17395,128.66802,0.74926,47217.49838,31668.10068,68072.67201,37908.24543,21754.30615,67.00620,23409.96914,31735.10688,14537.98246,86624.50382,NA,NA,17539.01969,130359.52520
2008-11-01,78937.15904,2780.58894,81717.74798,23490.55165,42174.37008,65664.92173,25509.43728,75653.84940,31001.73292,106655.58232,20611.13723,27024.62795,47635.76519,7020.64180,54656.40699,14669.50115,1525.47496,16194.97612,17154.04299,2401.41222,19555.45522,8822.02794,28377.48316,590.05038,3050.89636,3640.94673,2447.57378,295.18539,2742.75917,980.33608,3723.09525,90935.70566,201.14472,91136.85038,127.44738,2.20191,129.64930,0.83917,47074.70935,32087.51870,69953.57087,39672.40859,24078.97930,63.40314,23706.90604,32150.92184,15140.99684,86386.07866,NA,NA,17408.31575,131648.46400
2008-12-01,84408.81666,3261.71978,87670.53645,29355.65428,36401.86233,65757.51661,20694.96032,69305.72392,34724.58076,104030.30468,21471.55988,18712.29842,40183.85830,7141.25299,47325.11129,13991.05821,1975.35018,15966.40839,17364.22949,2378.93354,19743.16303,11431.55919,31174.72222,532.89640,3046.25605,3579.15245,2243.05176,240.32171,2483.37347,1265.62622,3748.99969,101541.29798,228.42501,101769.72298,126.39380,0.43855,126.83235,1.12645,46943.44404,31816.41872,66202.95764,39870.17666,25055.28886,75.41899,24286.60423,31891.83771,14951.55799,84742.39978,NA,NA,17460.63833,127054.95700
2009-01-01,78742.38340,2775.99660,81518.38000,24444.48701,38110.08977,62554.57678,20807.03478,78339.92552,29518.33603,107858.26155,22682.98686,25258.88681,47941.87367,8643.39042,56585.26409,14677.79370,1808.01147,16485.80516,17529.72060,1955.79235,19485.51294,11231.30243,30716.81537,591.13097,3113.43436,3704.56533,2284.94808,227.50563,2512.45370,1222.42805,3734.88175,96082.25087,210.56727,96292.81814,92.82494,0.37950,93.20445,0.97412,46846.94566,32218.18776,71821.13986,39479.08309,25661.17063,73.20811,23038.68652,32291.39587,15159.58439,83295.81077,NA,NA,17391.88282,129194.55090
2009-02-01,79124.06678,2858.28747,81982.35426,23736.28791,39950.96664,63687.25454,28038.31271,79384.14589,24905.66113,104289.80701,21999.69119,24460.17792,46459.86911,7350.94761,53810.81672,16029.46343,2105.73555,18135.19898,18961.90161,1709.64999,20671.55159,10564.15186,31235.70345,617.73877,3348.79724,3966.53602,2347.60351,148.39740,2496.00091,1097.56027,3593.56118,95022.87582,206.29917,95229.17499,93.73019,0.27912,94.00931,1.08303,45898.24996,31646.31585,70244.05456,41251.81627,25883.80992,75.02627,24276.02296,31721.34212,15527.42409,72479.44185,NA,NA,17189.64982,129898.43780
2009-03-01,77039.05959,2951.47671,79990.53629,23286.90499,49455.11490,72742.01988,22294.31783,79843.19393,31637.62496,111480.81888,21612.48061,21690.47854,43302.95914,5880.58685,49183.54599,15816.65214,2202.21733,18018.86947,20307.82404,1701.51444,22009.33847,13671.22023,35680.55870,574.43222,3129.51253,3703.94475,4748.08687,433.31373,5181.40060,854.34299,6035.74359,90064.68423,227.49703,90292.18126,94.44373,1.22147,95.66520,1.36819,48390.84647,32813.52369,72818.69941,40728.23368,22835.17261,65.23349,21437.97983,32878.75718,15956.61608,71388.29464,NA,NA,17074.22282,130364.17840
2009-04-01,76643.54408,2921.63154,79565.17562,23470.42426,40434.17829,63904.60254,15659.98141,78875.34036,33065.80649,111941.14685,23494.82609,22936.34263,46431.16872,6637.58382,53068.75255,15686.34786,2278.98453,17965.33239,20639.23191,1460.11108,22099.34300,13765.12414,35864.46714,564.89163,3548.80970,4113.70134,2596.46390,408.80972,3005.27362,3762.58350,6767.85712,93565.28398,236.35641,93801.64039,86.23043,2.29608,88.52651,1.61314,48650.99957,33033.23433,70086.09952,41246.52923,21719.75590,48.84125,21408.45837,33082.07558,15982.93805,71304.16990,NA,NA,16955.46332,130605.61318
2009-05-01,77187.09630,2946.78596,80133.88226,22790.82541,41277.73160,64068.55701,16071.44989,77376.45645,33767.12791,111143.58436,18528.83555,25192.78247,43721.61802,6727.32938,50448.94741,14871.00552,2220.56792,17091.57344,20366.50646,1607.32734,21973.83381,10921.00716,32894.84097,520.61629,2876.09490,3396.71119,2601.54022,373.77820,2975.31841,3311.57291,6286.89132,99211.80854,232.43490,99444.24345,86.40828,1.95875,88.36702,1.81004,48907.45154,33697.08919,71029.72428,41014.24996,20445.90861,50.48804,19921.51937,33747.57723,16332.92017,68363.51767,NA,NA,16672.43558,130995.71590
2009-06-01,78407.07295,3028.44994,81435.52290,24436.71919,48529.21479,72965.93398,19357.11308,76061.27291,32980.49152,109041.76442,17510.68877,21269.32014,38780.00891,6860.41556,45640.42448,14640.17665,2447.45858,17087.63522,20810.18287,2076.02998,22886.21285,14309.06269,37195.27554,521.10598,2646.62188,3167.72786,2314.52422,349.23596,2663.76018,2654.49273,5318.25292,93406.92232,241.11736,93648.03968,84.62332,2.15872,86.78205,1.44982,47895.35746,32713.09355,68081.30822,40199.93613,19958.99564,45.21784,19492.79840,32758.31139,16729.58126,67579.51637,NA,NA,16454.21012,131447.60250
